"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"REC1";"LED_0805_2012Metric";1;"Red";;;
2;"J10,J16,J12,J9,J15,J11,J14,J13";"PinHeader_1x02_P2.54mm_Vertical_Wide";8;"LED";;;
3;"R8,R11";"R_0805_2012Metric";2;"10k";;;
4;"C13";"C_0805_2012Metric";1;"106";;;
5;"R17,R15,R18,R16";"R_0805_2012Metric";4;"200 Ω";;;
6;"J4";"PinHeader_1x02_P2.54mm_Vertical_Wide";1;"Mic";;;
7;"PWR1,PWR2";"LED_0805_2012Metric";2;"Green";;;
8;"IC1";"LM4871";1;"LM4871MX_NOPB";;;
9;"J1";"PinHeader_1x02_P2.54mm_Vertical_Wide";1;"Power";;;
10;"C3";"CP_Radial_Tantal_D6.0mm_P2.50mm";1;"220 µF";;;
11;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"NE555D";;;
12;"J2";"PinHeader_1x02_P2.54mm_Vertical_Wide";1;"Rec";;;
13;"R14,R7,R13";"R_0805_2012Metric";3;"100k";;;
14;"J3";"PinHeader_1x02_P2.54mm_Vertical_Wide";1;"Play";;;
15;"PLAY6,PLAY4,PLAY5,PLAY3";"LED_0805_2012Metric";4;"Yellow";;;
16;"U2";"ISD1820";1;"ISD1820";;;
17;"PLAY1,PLAY2";"LED_0805_2012Metric";2;"Blue";;;
18;"R12,R19,R9,R4,R1,R6,R10";"R_0805_2012Metric";7;"1k";;;
19;"J6";"PinHeader_1x02_P2.54mm_Vertical_Wide";1;"Speaker";;;
20;"U1";"ua7805-KTT-_R-PSFM-G3_";1;"ua7805";;;
21;"J7,J8";"PinHeader_1x02_P2.54mm_Vertical_Wide";2;"100k pot";;;
22;"Q3";"SOT-23";1;"PMBT2222A";;;
23;"C9,C2,C5,C4";"C_0805_2012Metric";4;"104";;;
24;"Q2,Q1";"SOT-23";2;"2PB709AXL";;;
25;"R2,R3";"R_0805_2012Metric";2;"4.7k";;;
26;"C1";"C_0805_2012Metric";1;"334";;;
27;"C12,C11";"C_0805_2012Metric";2;"105";;;
28;"C7,C6,C14";"C_0805_2012Metric";3;"102";;;
29;"C8";"C_0805_2012Metric";1;"475";;;
30;"C10";"C_0805_2012Metric";1;"394";;;
31;"R5";"R_0805_2012Metric";1;"80k";;;
